,perplexity,coherence
2,-8.331821018,0.615289441
3,-8.56797077,0.557805012
4,-8.739588104,0.71102554
5,-8.880900717,0.522071252
6,-9.005282634,0.515542098
7,-9.112538799,0.531511585
8,-9.258553218,0.554008991
9,-9.396549078,0.504619248
10,-9.55367636,0.527238126
11,-9.662752334,0.530050076
12,-9.80436663,0.480027431
13,-9.932002824,0.470725038
14,-9.99222423,0.508428047
15,-10.15919338,0.51169559
16,-10.21574992,0.509013007
17,-10.63648743,0.431445354
18,-10.87845296,0.489285814
19,-10.82620307,0.46422541
20,-10.98833794,0.47662242
21,-11.15986723,0.454653036
22,-11.1573626,0.475727143
23,-10.71691112,0.538938708
24,-11.38718803,0.498488806
25,-11.61519799,0.463041473
26,-11.73274126,0.453859422
27,-11.85787147,0.465385438
28,-11.94767351,0.46160784
29,-11.96247254,0.450911247
30,-12.21234929,0.468003186
31,-12.33388859,0.450163882
32,-12.4589515,0.431270387
33,-12.61540097,0.455473144
34,-12.74157058,0.444890978
35,-12.92386685,0.411245684
36,-13.00021409,0.379305215
37,-13.39675535,0.436140587
38,-13.42506666,0.413843018
39,-13.54221766,0.399964408
