,0,1,2,3,4,5,6,7,8,9
0,냄새,반죽,온도,설탕,버터,오븐,도넛,레시피,정도,사용
1,생크림,추천,휘핑크림,동물성,버터,사용,딸기,식물성,크림,케이크
2,바닐라,트랙,익스,페이스,사용,익스트,쿠키,레시피,보드카,버터
3,버터,우유,스콘,레시피,요거트,생크림,계란,무화과,플레인,설탕
4,케이크,클래스,레터,크림,치즈,수업,연습,아이싱,추천,프로
5,크로와상,반죽,레시피,버터,오븐,녹스,가요,페스,땅콩,비중
6,쿠키,레시피,느낌,버터,소금,바나나,보고,식감,쫀득,설탕
7,오븐,반죽,온도,발효,머랭,마카롱,정도,식빵,이유,움색
8,레몬,전분,옥수수,가루,시럽,시나몬,시트,마카,로나,레시피
9,가요,반죽,그대로,방법,제목,지금,바치,물엿,단호박,식빵
10,오븐엔조이,서로,배려,에티켓,행복,보아,일상,기본,카페,베이
11,보관,냉동,냉장,실온,유통,기한,크림,내일,냉장고,해동
12,코코넛,머핀,컵케이크,바삭,가요,아침,레시피,쿠키,반죽,소프트
13,초콜릿,초코,커버,코팅,다크,화이트,초콜렛,밀크,깍지,템퍼링
14,믹서,아시,핸드,버터,반죽,포장,추천,버터쿠키,레시피,베이킹파우더
15,가루,말차,젤라틴,녹차,얼그레이,코코아,무스,레시피,초코,제일
16,박력,중력,강력,치즈케이크,유산,바스크,종이,호일,가루,차이
17,이스트,휴지,고구마,반죽,레시피,드라이,럼블,르방,밀가루,가운데
18,립법,버터,반죽,레시피,커스터드,생크림,원형,중탕,은박,연유
19,치즈,마스,카포네,크림,티라미수,생크림,버터크림,케이크,버터,레시피
